timestamp,payment_latency_ms
2026-01-01T00:00:00,201.219
2026-01-01T00:01:00,195.907
2026-01-01T00:02:00,203.135
2026-01-01T00:03:00,203.962
2026-01-01T00:04:00,192.462
2026-01-01T00:05:00,195.124
2026-01-01T00:06:00,200.910
2026-01-01T00:07:00,199.200
2026-01-01T00:08:00,200.463
2026-01-01T00:09:00,197.184
2026-01-01T00:10:00,204.179
2026-01-01T00:11:00,203.837
2026-01-01T00:12:00,201.055
2026-01-01T00:13:00,205.364
2026-01-01T00:14:00,202.788
2026-01-01T00:15:00,197.544
2026-01-01T00:16:00,202.519
2026-01-01T00:17:00,197.271
2026-01-01T00:18:00,204.682
2026-01-01T00:19:00,201.030
2026-01-01T00:20:00,200.550
2026-01-01T00:21:00,198.626
2026-01-01T00:22:00,206.299
2026-01-01T00:23:00,200.849
2026-01-01T00:24:00,199.812
2026-01-01T00:25:00,200.174
2026-01-01T00:26:00,203.768
2026-01-01T00:27:00,203.156
2026-01-01T00:28:00,203.399
2026-01-01T00:29:00,203.526
2026-01-01T00:30:00,210.422
2026-01-01T00:31:00,200.281
2026-01-01T00:32:00,199.909
2026-01-01T00:33:00,198.753
2026-01-01T00:34:00,204.521
2026-01-01T00:35:00,206.621
2026-01-01T00:36:00,201.696
2026-01-01T00:37:00,198.837
2026-01-01T00:38:00,198.945
2026-01-01T00:39:00,204.889
2026-01-01T00:40:00,205.302
2026-01-01T00:41:00,204.543
2026-01-01T00:42:00,199.749
2026-01-01T00:43:00,203.379
2026-01-01T00:44:00,202.955
2026-01-01T00:45:00,203.399
2026-01-01T00:46:00,206.046
2026-01-01T00:47:00,203.488
2026-01-01T00:48:00,205.342
2026-01-01T00:49:00,202.929
2026-01-01T00:50:00,203.845
2026-01-01T00:51:00,205.243
2026-01-01T00:52:00,196.916
2026-01-01T00:53:00,201.493
2026-01-01T00:54:00,200.915
2026-01-01T00:55:00,1096.831
2026-01-01T00:56:00,201.741
2026-01-01T00:57:00,208.842
2026-01-01T00:58:00,199.418
2026-01-01T00:59:00,206.773
2026-01-01T01:00:00,196.184
2026-01-01T01:01:00,201.591
2026-01-01T01:02:00,203.595
2026-01-01T01:03:00,205.301
2026-01-01T01:04:00,205.812
2026-01-01T01:05:00,206.149
2026-01-01T01:06:00,201.589
2026-01-01T01:07:00,201.141
2026-01-01T01:08:00,206.427
2026-01-01T01:09:00,202.233
2026-01-01T01:10:00,197.897
2026-01-01T01:11:00,198.467
2026-01-01T01:12:00,199.321
